,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
0,Tony Abad,es ESP,DF,Huesca,La Liga 2,28-039,1996,17,7,802,8.9,0,0,0,0,0,0,4,0,0.0,0.0,0.6,0.7,11,27,42,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,es ESP,DF,Huesca,La Liga 2,28-039,1996,8.9,0,1,0,0.0,0.11,0.00,0.00,0,11.2,0,0,0,0.0,0.0,0.03,0.0,0.0,es ESP,DF,Huesca,La Liga 2,28-039,1996,8.9,341,424,80.4,5706,2125,175,191,91.6,138,164,84.1,23,46,50.0,0,0.6,0.6,-0.6,11,23,7,5,27,es ESP,DF,Huesca,La Liga 2,28-039,1996,8.9,424,351,73,9,0,1,22,63,1,0,0,0,341,0,13,es ESP,DF,Huesca,La Liga 2,28-039,1996,8.9,17,1.91,13,3,0,0,1,0,1,0.11,0,1,0,0,0,0,es ESP,DF,Huesca,La Liga 2,28-039,1996,8.9,12,8,7,5,0,6,14,42.9,8,8,2,6,10,22,24,0,es ESP,DF,Huesca,La Liga 2,28-039,1996,8.9,504,27,156,225,126,7,504,7,2,28.6,5,71.4,236,1104,530,11,7,2,10,3,287,42,es ESP,DF,Huesca,La Liga 2,28-039,1996,17,802,47,49.5,8.9,7,81,3,10,24,1,1.53,15,10,+5,+0.56,+0.34,11.6,12.7,-1.1,-0.12,-0.11,es ESP,DF,Huesca,La Liga 2,28-039,1996,8.9,4,0,0,17,4,5,22,10,8,0,1,0,40,9,10,47.4
1,Haitam Abaida,ma MAR,MF,Málaga,La Liga 2,22-194,2002,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ma MAR,MF,Málaga,La Liga 2,22-194,2002,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,ma MAR,MF,Málaga,La Liga 2,22-194,2002,0.2,2,6,33.3,38,7,1,2,50.0,1,3,33.3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,MF,Málaga,La Liga 2,22-194,2002,0.2,6,6,0,0,0,0,3,0,0,0,0,0,2,0,2,ma MAR,MF,Málaga,La Liga 2,22-194,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ma MAR,MF,Málaga,La Liga 2,22-194,2002,0.2,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,ma MAR,MF,Málaga,La Liga 2,22-194,2002,0.2,9,0,2,1,6,1,9,0,0,0,0,0,6,49,20,2,0,1,0,2,8,3,ma MAR,MF,Málaga,La Liga 2,22-194,2002,2,22,11,1.4,0.2,0,0,0,2,11,2,2.00,0,0,0,0.00,+0.17,0.1,0.1,0.0,-0.06,+0.45,ma MAR,MF,Málaga,La Liga 2,22-194,2002,0.2,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0
2,Adilson,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,11,6,581,6.5,2,0,2,2,0,0,0,0,1.8,1.8,0.4,2.2,28,12,45,0.31,0.00,0.31,0.31,0.31,0.29,0.06,0.34,0.29,0.34,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,6.5,2,14,4,28.6,2.17,0.62,0.14,0.50,15.4,0,0,0,1.8,1.8,0.13,+0.2,+0.2,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,6.5,101,128,78.9,1352,233,67,74,90.5,27,33,81.8,3,7,42.9,0,0.4,0.3,-0.4,10,3,2,0,12,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,6.5,128,122,5,1,0,2,6,3,1,0,0,0,101,1,6,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,6.5,18,2.79,16,0,1,1,0,0,0,0.00,0,0,0,0,0,0,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,6.5,6,4,2,3,1,1,3,33.3,2,8,1,7,4,10,1,0,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,6.5,207,3,24,62,126,33,207,24,12,50.0,11,45.8,122,1032,634,28,10,13,15,9,137,45,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,11,581,53,35.9,6.5,6,76,1,5,25,0,0.82,7,11,-4,-0.62,-0.36,8.7,11.0,-2.3,-0.35,-0.15,pt POR,"FW,MF",Córdoba,La Liga 2,27-266,1997,6.5,0,0,0,9,9,1,6,4,4,0,0,0,19,9,8,52.9
3,David Affengruber,at AUT,DF,Elche,La Liga 2,23-268,2001,16,13,"1,243",13.8,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,49,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,at AUT,DF,Elche,La Liga 2,23-268,2001,13.8,0,4,0,0.0,0.29,0.00,0.00,0,8.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4,at AUT,DF,Elche,La Liga 2,23-268,2001,13.8,913,1026,89.0,16737,6836,321,344,93.3,521,563,92.5,65,99,65.7,0,0.1,0.2,-0.1,3,67,1,0,49,at AUT,DF,Elche,La Liga 2,23-268,2001,13.8,1026,979,45,32,1,3,0,7,0,0,0,0,913,2,4,at AUT,DF,Elche,La Liga 2,23-268,2001,13.8,12,0.87,11,0,0,1,0,0,1,0.07,1,0,0,0,0,0,at AUT,DF,Elche,La Liga 2,23-268,2001,13.8,27,16,17,10,0,16,23,69.6,7,18,7,11,22,49,38,1,at AUT,DF,Elche,La Liga 2,23-268,2001,13.8,1148,85,489,645,19,7,1148,10,3,30.0,3,30.0,708,3556,2281,12,9,1,3,1,833,1,at AUT,DF,Elche,La Liga 2,23-268,2001,16,"1,243",78,76.7,13.8,13,87,11,3,35,0,1.81,16,12,+4,+0.29,-0.67,17.8,14.8,+3.0,+0.22,-1.09,at AUT,DF,Elche,La Liga 2,23-268,2001,13.8,1,0,0,12,14,3,0,22,16,0,0,0,51,35,23,60.3
4,Martin Agirregabiria,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12,12,"1,080",12.0,1,0,1,1,0,0,2,0,0.1,0.1,0.2,0.4,9,41,60,0.08,0.00,0.08,0.08,0.08,0.01,0.02,0.03,0.01,0.03,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12.0,1,5,1,20.0,0.42,0.08,0.20,1.00,21.3,0,0,0,0.1,0.1,0.03,+0.9,+0.9,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12.0,378,548,69.0,6929,2949,152,185,82.2,177,242,73.1,41,82,50.0,0,0.2,0.4,-0.2,5,35,9,6,41,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12.0,548,446,99,4,0,4,39,95,0,0,0,0,378,3,23,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12.0,16,1.33,9,3,1,0,2,1,0,0.00,0,0,0,0,0,0,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12.0,24,11,15,8,1,17,27,63.0,10,14,6,8,12,36,39,0,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12.0,665,45,270,246,153,10,665,5,3,60.0,1,20.0,302,1086,559,9,9,1,12,7,347,60,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12,"1,080",90,66.7,12.0,12,90,12,0,0,1,0.58,9,22,-13,-1.08,-0.75,9.7,23.5,-13.8,-1.15,-0.04,es ESP,DF,Cartagena,La Liga 2,28-216,1996,12.0,2,0,0,13,11,1,39,12,11,0,0,0,53,7,8,46.7
5,Marc Aguado,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,12,11,780,8.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,33,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,8.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,8.7,317,376,84.3,5773,1783,114,134,85.1,176,192,91.7,23,39,59.0,0,0.0,0.1,0.0,1,30,1,0,33,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,8.7,376,365,11,7,0,2,1,1,0,0,0,0,317,0,6,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,8.7,7,0.81,4,0,0,0,2,1,0,0.00,0,0,0,0,0,0,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,8.7,25,16,11,10,4,9,15,60.0,6,12,7,5,16,41,24,0,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,8.7,468,31,159,269,41,1,468,3,1,33.3,2,66.7,213,841,378,4,3,0,2,2,285,4,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,12,780,65,48.1,8.7,11,71,2,1,1,6,1.83,10,7,+3,+0.35,+0.02,10.7,8.8,+1.9,+0.22,-0.06,es ESP,MF,Zaragoza,La Liga 2,24-294,2000,8.7,1,0,0,11,9,0,1,16,16,0,1,0,33,9,5,64.3
6,Lalo Aguilar,es ESP,DF,Albacete,La Liga 2,22-184,2002,10,9,748,8.3,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,2,17,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,es ESP,DF,Albacete,La Liga 2,22-184,2002,8.3,0,3,0,0.0,0.36,0.00,0.00,0,14.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,es ESP,DF,Albacete,La Liga 2,22-184,2002,8.3,259,317,81.7,5849,2172,41,46,89.1,172,181,95.0,46,84,54.8,0,0.0,0.1,0.0,1,21,2,0,17,es ESP,DF,Albacete,La Liga 2,22-184,2002,8.3,317,312,2,2,0,2,0,0,0,0,0,0,259,3,0,es ESP,DF,Albacete,La Liga 2,22-184,2002,8.3,5,0.60,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,22-184,2002,8.3,15,11,15,0,0,9,11,81.8,2,9,5,4,7,22,57,0,es ESP,DF,Albacete,La Liga 2,22-184,2002,8.3,412,83,271,133,10,4,412,2,2,100.0,0,0.0,183,972,562,2,3,1,1,0,243,0,es ESP,DF,Albacete,La Liga 2,22-184,2002,10,748,75,46.2,8.3,9,83,6,1,2,7,1.40,11,10,+1,+0.12,+0.43,14.4,7.1,+7.3,+0.88,+0.60,es ESP,DF,Albacete,La Liga 2,22-184,2002,8.3,1,0,0,3,5,1,0,7,11,0,0,0,31,10,7,58.8
7,Lucas Ahijado,es ESP,DF,Oviedo,La Liga 2,29-317,1995,9,5,507,5.6,1,1,2,1,0,0,2,0,0.8,0.8,0.4,1.2,4,14,17,0.18,0.18,0.36,0.18,0.36,0.15,0.06,0.21,0.15,0.21,es ESP,DF,Oviedo,La Liga 2,29-317,1995,5.6,1,4,2,50.0,0.71,0.36,0.25,0.50,19.1,0,0,0,0.8,0.8,0.21,+0.2,+0.2,es ESP,DF,Oviedo,La Liga 2,29-317,1995,5.6,172,215,80.0,3111,1351,71,84,84.5,79,97,81.4,18,27,66.7,1,0.4,0.7,+0.6,4,11,1,1,14,es ESP,DF,Oviedo,La Liga 2,29-317,1995,5.6,215,151,63,4,0,1,6,57,1,1,0,0,172,1,4,es ESP,DF,Oviedo,La Liga 2,29-317,1995,5.6,9,1.60,8,1,0,0,0,0,1,0.18,1,0,0,0,0,0,es ESP,DF,Oviedo,La Liga 2,29-317,1995,5.6,19,12,13,5,1,9,24,37.5,15,5,2,3,3,22,11,1,es ESP,DF,Oviedo,La Liga 2,29-317,1995,5.6,273,8,93,116,65,5,273,8,3,37.5,4,50.0,94,497,140,4,3,0,11,3,112,17,es ESP,DF,Oviedo,La Liga 2,29-317,1995,9,507,56,31.3,5.6,5,80,3,4,27,9,1.33,8,9,-1,-0.18,-0.42,10.8,8.8,+2.0,+0.35,+0.25,es ESP,DF,Oviedo,La Liga 2,29-317,1995,5.6,2,0,0,9,4,0,6,3,12,0,0,0,25,2,7,22.2
8,Ager Aketxe,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,14,12,957,10.6,1,2,3,1,0,1,2,0,2.1,1.3,1.6,2.9,14,84,47,0.09,0.19,0.28,0.09,0.28,0.19,0.15,0.35,0.12,0.27,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,10.6,1,21,4,19.0,1.97,0.38,0.05,0.25,24.6,6,0,1,2.1,1.3,0.06,-1.1,-0.3,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,10.6,434,578,75.1,7471,1965,188,216,87.0,191,229,83.4,42,94,44.7,2,1.6,1.9,+0.4,16,46,15,2,84,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,10.6,578,491,81,28,2,2,65,4,37,15,13,0,434,6,13,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,10.6,49,4.60,34,12,0,3,0,0,4,0.38,2,2,0,0,0,0,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,10.6,25,15,11,9,5,12,26,46.2,14,14,3,11,5,30,3,0,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,10.6,684,11,66,328,295,21,683,12,6,50.0,6,50.0,354,1662,618,14,20,4,19,9,454,47,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,14,957,68,59.1,10.6,12,76,4,2,25,0,1.36,17,15,+2,+0.19,-0.35,16.6,12.9,+3.7,+0.35,+0.24,es ESP,"MF,FW",Zaragoza,La Liga 2,30-348,1993,10.6,2,0,0,15,10,0,65,5,15,0,0,0,51,10,7,58.8
9,Tomás Alarcón,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,3,0,85,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,20.3,0,0,0,0.0,0.0,0.03,0.0,0.0,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,0.9,39,47,83.0,786,105,14,15,93.3,18,21,85.7,5,7,71.4,0,0.0,0.0,0.0,0,3,0,0,2,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,0.9,47,43,4,4,0,4,1,0,0,0,0,0,39,0,0,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,0.9,2,1,1,1,0,0,0,0,0,0,0,0,2,4,0,0,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,0.9,55,1,15,32,11,1,55,1,1,100.0,0,0.0,27,162,72,1,1,0,0,2,36,5,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,3,85,28,5.2,0.9,0,0,0,3,28,5,1.67,2,1,+1,+1.06,+1.53,1.9,1.3,+0.6,+0.67,+1.03,cl CHI,MF,Cádiz,La Liga 2,25-328,1999,0.9,1,0,0,4,2,0,1,2,1,0,0,0,8,2,0,100.0
